"logFC"	"P.Value"	"adj.P.Val"
"X361"	-4.88633495088689	4.0464286744127e-05	0.345969651662286
"X1410"	-4.26657288776669	0.000338008875480681	0.978485020859851
"X4155"	-4.16300584288723	0.000470008717610162	0.978485020859851
"X10716"	3.5566528137574	0.00280834052075854	0.978485020859851
"X4645"	3.55011222262244	0.0028592403063608	0.978485020859851
"X2246"	-3.54476749864619	0.00290145750382712	0.978485020859851
"X64919"	3.44661569421149	0.00378504666481247	0.978485020859851
"X4504"	-3.42465276900342	0.004013576820511	0.978485020859851
"X6664"	3.4097890790939	0.00417527036097683	0.978485020859851
"X4541"	-3.37293864490003	0.00460193932662396	0.978485020859851
"X4536"	-3.30347288789333	0.00551508657050357	0.978485020859851
"X5354"	-3.26461400901921	0.00609442491988071	0.978485020859851
"X6285"	-3.22938059148977	0.006666496803553	0.978485020859851
"X4537"	-3.17988559042945	0.00755168819923527	0.978485020859851
"X3321"	3.12054335387371	0.00875094631076316	0.978485020859851
"X4535"	-3.06136983600988	0.0101134646929029	0.978485020859851
"X56978"	3.03142060788176	0.0108726033325401	0.978485020859851
"X63974"	3.03056058397337	0.0108951317288652	0.978485020859851
"X51339"	3.02435934913864	0.011058805368211	0.978485020859851
"X6659"	3.00948974331091	0.0114602004409443	0.978485020859851
"X2045"	3.00021333574518	0.0117171127381161	0.978485020859851
"X100131754"	-2.95304593649712	0.0131040649003212	0.978485020859851
"X1902"	-2.93609504024508	0.0136368774281831	0.978485020859851
"X5375"	-2.89385269942462	0.0150487752566031	0.978485020859851
"X4539"	-2.88100705316376	0.0155029277299753	0.978485020859851
"X57611"	2.85271558159847	0.016545915964228	0.978485020859851
"X1734"	-2.84376829037159	0.0168883522677965	0.978485020859851
"X4549"	-2.84243074250762	0.0169400746270919	0.978485020859851
"X283248"	2.83862199265931	0.0170881195788371	0.978485020859851
"X8128"	2.83716042543904	0.017145230940237	0.978485020859851
"X1641"	2.81456959732157	0.0180495153112153	0.978485020859851
"X1600"	2.7717861245228	0.0198770828604036	0.978485020859851
"X53335"	2.7373607235148	0.0214629271954515	0.978485020859851
"X79570"	2.73590122710538	0.0215325287530959	0.978485020859851
"X4001"	2.72724977540638	0.0219491541118513	0.978485020859851
"X777"	2.71564252390249	0.0225191277992187	0.978485020859851
"X22895"	-2.70389129273613	0.0231092346647895	0.978485020859851
"X26153"	2.7036612627929	0.0231209187487488	0.978485020859851
"X2899"	2.69096142345923	0.0237740020821598	0.978485020859851
"X4008"	2.68305561684084	0.0241885868513991	0.978485020859851
"X4550"	-2.66817137913368	0.0249861542575798	0.978485020859851
"X4540"	-2.65831442026938	0.0255267834149145	0.978485020859851
"X387978"	2.65027861514451	0.0259749870347966	0.978485020859851
"X3755"	2.6276154494179	0.0272758793782581	0.978485020859851
