"SRR1554536"	"SRR1554538"	"SRR1554556"	"SRR1554561"	"SRR1554566"	"SRR1554568"
"A1BG"	"48"	"136"	"328"	"315"	"304"	"149"
"X10"	"0"	"6"	"2"	"0"	"4"	"2"
"X100"	"135"	"189"	"619"	"113"	"186"	"92"
"X1000"	"1483"	"22765"	"6370"	"5105"	"24421"	"20543"
"X10000"	"457"	"24149"	"5411"	"6533"	"36168"	"44187"
"X100008586"	"0"	"0"	"0"	"0"	"0"	"0"
"X100008587"	"0"	"0"	"0"	"0"	"0"	"0"
"X100008588"	"0"	"0"	"0"	"0"	"0"	"0"
"X100008589"	"0"	"0"	"0"	"0"	"0"	"0"
"X100009613"	"0"	"0"	"0"	"0"	"0"	"0"
"X100009676"	"29"	"154"	"101"	"64"	"147"	"100"
"X10001"	"186"	"2261"	"1147"	"816"	"1692"	"1409"
"X10002"	"3"	"28"	"27"	"11"	"14"	"22"
"X10003"	"149"	"943"	"1201"	"633"	"407"	"300"
"X100033413"	"3"	"20"	"1"	"1"	"5"	"4"
"X100033414"	"0"	"11"	"2"	"0"	"7"	"6"
"X100033415"	"0"	"2"	"0"	"0"	"0"	"0"
"X100033416"	"4"	"113"	"33"	"49"	"94"	"77"
"X100033417"	"0"	"0"	"0"	"1"	"1"	"0"
"X100033418"	"0"	"9"	"1"	"1"	"4"	"4"
"X100033419"	"0"	"12"	"0"	"0"	"6"	"1"
"X100033420"	"0"	"0"	"0"	"0"	"3"	"4"
"X100033421"	"1"	"0"	"5"	"6"	"0"	"4"
"X100033422"	"0"	"0"	"1"	"0"	"0"	"0"
"X100033423"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033424"	"1"	"3"	"1"	"13"	"1"	"0"
"X100033425"	"1"	"5"	"2"	"0"	"3"	"0"
"X100033426"	"0"	"6"	"2"	"4"	"2"	"4"
"X100033427"	"0"	"4"	"3"	"1"	"0"	"3"
"X100033428"	"0"	"2"	"1"	"1"	"0"	"1"
"X100033429"	"0"	"0"	"0"	"0"	"2"	"3"
"X100033430"	"0"	"5"	"5"	"2"	"3"	"0"
"X100033431"	"11"	"45"	"8"	"9"	"15"	"29"
"X100033432"	"5"	"52"	"21"	"10"	"34"	"48"
"X100033433"	"0"	"17"	"3"	"2"	"13"	"12"
"X100033434"	"0"	"9"	"3"	"0"	"2"	"0"
"X100033435"	"0"	"27"	"10"	"1"	"2"	"13"
"X100033436"	"0"	"4"	"2"	"0"	"2"	"1"
"X100033437"	"0"	"1"	"2"	"0"	"0"	"0"
"X100033438"	"2"	"14"	"4"	"0"	"1"	"1"
"X100033439"	"2"	"9"	"14"	"2"	"6"	"4"
"X100033440"	"0"	"0"	"0"	"0"	"1"	"0"
"X100033441"	"0"	"3"	"6"	"5"	"1"	"0"
"X100033442"	"0"	"0"	"0"	"1"	"0"	"0"
"X100033443"	"0"	"0"	"1"	"2"	"0"	"0"
"X100033444"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033445"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033446"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033447"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033448"	"0"	"0"	"0"	"1"	"0"	"0"
"X100033449"	"1"	"3"	"4"	"10"	"1"	"1"
"X100033450"	"0"	"9"	"18"	"38"	"2"	"3"
"X100033451"	"1"	"0"	"0"	"13"	"0"	"0"
"X100033453"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033454"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033455"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033456"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033458"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033460"	"0"	"8"	"12"	"20"	"0"	"1"
"X100033603"	"1"	"0"	"5"	"6"	"1"	"0"
"X100033799"	"0"	"1"	"0"	"6"	"1"	"0"
"X100033800"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033801"	"0"	"0"	"2"	"2"	"0"	"0"
"X100033802"	"0"	"3"	"5"	"13"	"0"	"2"
"X100033803"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033804"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033805"	"0"	"0"	"0"	"0"	"0"	"0"
"X100033806"	"0"	"2"	"1"	"1"	"0"	"0"
"X100033807"	"0"	"0"	"0"	"1"	"0"	"0"
